,name,Name,source,author,title,description,url,urlToImage,publishedAt,content
0,Fark.com,Fark.com,"{'id': None, 'name': 'Fark.com'}",,"The USPS has announced a ""temporary"" price increase starting October 18 [Interesting]","The USPS has announced a ""temporary"" price increase starting October 18",https://www.fark.com/comments/10919005/The-USPS-has-announced-a-temporary-price-increase-starting-October-18,https://fark-usrimg-full.nyc3.digitaloceanspaces.com/1/1S/fark_1Si1AwkFgVh0-KVwUBVPRsqaBTE.jpg?AWSAccessKeyId=HBAYEKZHGUB4NAYQBVSQ&Expires=1598241600&Signature=dxx0oLtWPJ3VpIQJPw6G0HgKsO4%3D,2020-08-16T14:45:45Z,"ShavedOrangutan:Il Douchey: Most businesses and citizens who still use the USPS can anticipate about how much postage they will need during the ""temporary"" price hike.  Those who haven't already stoc… [+1127 chars]"
1,Fox News,Fox News,"{'id': 'fox-news', 'name': 'Fox News'}",Evie Fordham,"White House pushes compromise on post office funding, stimulus checks",The White House is pushing for a congressional compromise on U.S. Postal Service funding and stimulus checks for individuals as House Democrats decry President Trump's threat to withhold funding for USPS and link it to the administration's opposition to unive…,https://www.foxnews.com/politics/trump-postal-service-funding-compromise-congress,https://static.foxnews.com/foxnews.com/content/uploads/2020/08/uspc-capitol.jpg,2020-08-16T14:44:58Z,The White House is pushing for a congressional compromise on U.S. Postal Service funding and stimulus checks for individuals as House Democrats decry President Trump's threat to withhold funding for … [+2974 chars]
2,Business Insider,Business Insider,"{'id': 'business-insider', 'name': 'Business Insider'}",Connor Perrett,Trump said he's considering a pardon for Edward Snowden after previously calling for his execution,"<ul>
<li>President Donald Trump said Saturday he was considering a pardon of former NSA contractor and whistleblower Edward Snowden.</li>
<li>""I'm not that aware of the Snowden situation, but I'm going to start looking at it,"" Trump said, noting that public o…",https://www.businessinsider.com/trump-said-considering-pardon-edward-snowden-2020-8,https://i.insider.com/5f393917e89ebf001f0450d7?width=1200&format=jpeg,2020-08-16T14:40:39Z,"President Donald Trump on Saturday suggested he was considering a pardon of Edward Snowden, the former National Security Agency contractor turned whistleblower who in 2013 downloaded and leaked class… [+2683 chars]"
3,The Hill,The Hill,"{'id': 'the-hill', 'name': 'The Hill'}",Justine Coleman,Sanders says his first priority is to defeat Trump,Sen. Bernie Sanders (I-Vt.) said Sunday that his first priority is to defeat President Trump and then focus on promoting the progressive agenda once presumptive Democratic nominee Joe Biden is elected....,https://thehill.com/homenews/sunday-talk-shows/512218-sanders-says-his-first-priority-is-to-defeat-trump,https://thehill.com/sites/default/files/sandersbernie_022820gn21_lead.jpg,2020-08-16T14:39:32Z,"Sen. Bernie SandersBernie SandersTlaib votes 'no' on Democratic party platformBattle looms over Biden health care plan if Democrats win bigSunday shows preview: Mail-in voting, USPS funding dominates… [+2521 chars]"
4,The Hill,The Hill,"{'id': 'the-hill', 'name': 'The Hill'}",iswanson@thehill.com (Zack Budryk and Mike Lillis),Eyes turn to Ocasio-Cortez as she seeks to boost Biden,"As Rep. Alexandria Ocasio-Cortez’s star rises in the Democratic Party, all eyes are on how the progressive powerhouse will influence the party’s 2020 platform — and with it the prospects of Joe Biden at the top of the ticket.Ocasio-Cortez (D-N.Y.)...",https://thehill.com/homenews/house/511844-eyes-turn-to-ocasio-cortez-as-she-seeks-to-boost-biden,https://thehill.com/sites/default/files/ocasiocortez_041420getty.jpg,2020-08-16T14:30:08Z,As Rep. Alexandria Ocasio-CortezAlexandria Ocasio-CortezTlaib votes 'no' on Democratic party platformJared Kushner denies Trump 'promoting' questions about Kamala HarrisProgressives look to flex thei… [+10311 chars]
5,Business Insider,Business Insider,"{'id': 'business-insider', 'name': 'Business Insider'}",Tom Porter,"Donald Trump spends a lot of time and energy trying to figure out how to 'block' mail-in ballots, says administration insider","<ul>
<li>President Donald Trump is obsessed with mail-in ballots and how to ""block"" Americans casting their vote by post, reported The Washington Post on Saturday. </li>
<li>Trump has claimed that the US Postal Service shouldn't receive more money so people c…",https://www.businessinsider.com/trump-spends-time-figuring-out-how-block-mail-in-ballots-2020-8,https://i.insider.com/5f390fe7e89ebf001f0450b5?width=1200&format=jpeg,2020-08-16T14:26:59Z,"President Donald Trump is fixated on mail-in ballots and spends considerable time trying to figure out how to ""block"" such voting, a senior administration source told The Washington Post.
According … [+2049 chars]"
6,AlterNet,AlterNet,"{'id': None, 'name': 'AlterNet'}",Tom Boggioni,CNN’s Jake Tapper busts Trump chief of staff Mark Meadows live on-air for lying about disabling USPS sorting machines,"Toward the end of a long and combative interview with Mark Meadows, CNN “State of the Union” host Jake Tapper called out Donald Trump’s White House chief of staff for…
  Related Stories<ul><li>Senate panel referred Trump family members to DOJ over suspicions …",https://www.alternet.org/2020/08/cnns-jake-tapper-busts-trump-chief-of-staff-mark-meadows-live-on-air-for-lying-about-disabling-usps-sorting-machines/,https://www.alternet.org/wp-content/uploads/2019/07/39818309464_120aa72bec_b.jpg,2020-08-16T14:23:40Z,"Toward the end of a long and combative interview with Mark Meadows, CNN State of the Union host Jake Tapper called out Donald Trumps White House chief of staff for lying to him earlier in the segment… [+1430 chars]"
7,Newser,Newser,"{'id': None, 'name': 'Newser'}",Bob Cronin,Probe Begins of Postmaster's Changes at USPS,The Postal Service's inspector general is looking into the changes that have slowed delivery and led to warnings that states shouldn't count on mail-in ballots for the November election arriving in time. The changes are part of what Postmaster General Louis D…,https://www.newser.com/story/294987/ig-digs-into-changes-at-usps.html,https://img2-azrcdn.newser.com/image/1314495-12-20200816093519.jpeg,2020-08-16T14:19:48Z,"(Newser)
The Postal Service's inspector general is looking into the changes that have slowed delivery and led to warnings that states shouldn't count on mail-in ballots for the November election arr… [+1434 chars]"
8,The Hill,The Hill,"{'id': 'the-hill', 'name': 'The Hill'}",Justine Coleman,Meadows denies reports that postal sorting machines were decommissioned,White House chief of staff Mark Meadows on Sunday denied reports that several U.S. Postal Service (USPS) letter-sorting machines were decommissioned after orders from the postmaster general.Meadows tol...,https://thehill.com/homenews/sunday-talk-shows/512217-meadows-denies-reports-that-usps-sorting-machines-were,https://thehill.com/sites/default/files/meadowsmark_080520gn4_lead.jpg,2020-08-16T14:19:14Z,"White House chief of staff Mark MeadowsMark Randall MeadowsSunday shows preview: Mail-in voting, USPS funding dominates political debate before conventionsChris Wallace rips both parties for coronavi… [+3271 chars]"
9,USA Today,USA Today,"{'id': 'usa-today', 'name': 'USA Today'}","USA TODAY, Democracy Initiative Board of Directors, Opinion contributors",Relief for COVID-19 and democracy: Mobilize for USPS and voting support in next bill,John Lewis endured savage beatings to defend the right to vote. Our challenge to corporate leaders is much less daunting: Just dial your phone.,https://www.usatoday.com/story/opinion/2020/08/16/covid-relief-private-sector-pressure-election-usps-money-column/5594489002/,"https://www.gannett-cdn.com/presto/2020/08/16/USAT/4a8132f3-1e53-4102-83a6-e831faff4695-AP_Election_2020_Washington_Mail_Voting.jpg?crop=5471,3077,x0,y182&width=3200&height=1680&fit=bounds",2020-08-16T14:10:53Z,"As the late Rep. John Lewis lay in state at the Capitol Rotunda, Sen. Mitch McConnell took the floor to praise his life and work. John Lewis lived and worked with urgency, said McConnell, because the… [+5927 chars]"
